�3 04060952.csv,,Lenta-847,1614545971,120
Name,10CT G PBP -1/+1:   --- EKC состояние,10CT G PBP -1/+1:   u09 S5 Темп,11CT G OVZ +5/+8:   u69 Sair Темп,11CT G OVZ +5/+8:   u09 S5 Темп,11CT G OVZ +5/+8:   --- EKC состояние,12CT G GSR +2/+4:   u09 S5 Темп,12CT G GSR +2/+4:   u69 Sair Темп,12CT G GSR +2/+4:   --- EKC состояние,13CT G PBP -1/+1:   u69 Sair Темп,13CT G PBP -1/+1:   --- EKC состояние,13CT G PBP -1/+1:   u09 S5 Темп,14HT SH IKRA -4/-8:   u09 S5 Темп,14HT SH IKRA -4/-8:   --- EKC состояние,14HT SH IKRA -4/-8:   u17 Термостат,15CT G MSO -1/+1:   u09 S5 Темп,15CT G MSO -1/+1:   --- EKC состояние,15CT G MSO -1/+1:   u69 Sair Темп,16CT G MSO -1/+1:   u69 Sair Темп,16CT G MSO -1/+1:   u09 S5 Темп,16CT G MSO -1/+1:   --- EKC состояние,17CT G GSR +2/+4:   u09 S5 Темп,17CT G GSR +2/+4:   --- EKC состояние,17CT G GSR +2/+4:   u69 Sair Темп,18CT G PTO -1/+1:   u69 Sair Темп,18CT G PTO -1/+1:   u09 S5 Темп,18CT G PTO -1/+1:   --- EKC состояние,19CT G GSR +2/+4:   --- EKC состояние,19CT G GSR +2/+4:   u09 S5 Темп,19CT G GSR +2/+4:   u69 Sair Темп,20CT G GSR +2/+4:   u09 S5 Темп,20CT G GSR +2/+4:   u69 Sair Темп,20CT G GSR +2/+4:   --- EKC состояние,21CT G GSR +2/+4:   u09 S5 Темп,21CT G GSR +2/+4:   u69 Sair Темп,21CT G GSR +2/+4:   --- EKC состояние,22CT G GSR +2/+4:   u09 S5 Темп,22CT G GSR +2/+4:   u69 Sair Темп,22CT G GSR +2/+4:   --- EKC состояние,23CT V MSO -1/+1:   --- EKC состояние,23CT V MSO -1/+1:   u69 Sair Темп,23CT V MSO -1/+1:   u09 S5 Темп,24CT V GSR +2/+4:   --- EKC состояние,24CT V GSR +2/+4:   u69 Sair Темп,24CT V GSR +2/+4:   u09 S5 Темп,25CT V GSR +2/+4:   u09 S5 Темп,25CT V GSR +2/+4:   u69 Sair Темп,25CT V GSR +2/+4:   --- EKC состояние,26CT G MLK +2/+4:   u09 S5 Темп,26CT G MLK +2/+4:   --- EKC состояние,26CT G MLK +2/+4:   u69 Sair Темп,27CT G MLK +2/+4:   u69 Sair Темп,27CT G MLK +2/+4:   --- EKC состояние,27CT G MLK +2/+4:   u09 S5 Темп,28CT G MLK +2/+4:   --- EKC состояние,28CT G MLK +2/+4:   u69 Sair Темп,28CT G MLK +2/+4:   u09 S5 Темп,29CT G MLK +2/+4:   u09 S5 Темп,29CT G MLK +2/+4:   u69 Sair Темп,29CT G MLK +2/+4:   --- EKC состояние,30CT G GSR +2/+4:   u09 S5 Темп,30CT G GSR +2/+4:   --- EKC состояние,30CT G GSR +2/+4:   u69 Sair Темп,34CT G TRT +2/+4:   u09 S5 Темп,34CT G TRT +2/+4:   u69 Sair Темп,34CT G TRT +2/+4:   --- EKC состояние,52CT K PTO -1/+1:   u09 S5 Темп,52CT K PTO -1/+1:   u17 Термостат,52CT K PTO -1/+1:   --- EKC состояние,53K VOP POD PTO:   u17 Термостат,53K VOP POD PTO:   u09 S5 Темп,53K VOP POD PTO:   --- EKC состояние,54K VOP FAS GSR:   --- EKC состояние,54K VOP FAS GSR:   u09 S5 Темп,54K VOP FAS GSR:   u17 Термостат,55CT K GSR +2/+4:   u17 Термостат,55CT K GSR +2/+4:   u09 S5 Темп,55CT K GSR +2/+4:   --- EKC состояние,56CT K COF +5/+8:   u17 Термостат,56CT K COF +5/+8:   u09 S5 Темп,56CT K COF +5/+8:   --- EKC состояние,Gazoanalyzator:   Gas Level %,Gazoanalyzator:   Gas Level Ppm,111CT AG:   Comp A Pressure,111CT AG:   Перегрев A,111CT AG:   Comp A Req Cap,111CT AG:   Comp 2A Status,111CT AG:   Comp 3A Status,111CT AG:   Comp 1A Status,111CT AG:   Comp A Reference,111CT AG:   Comp A Capacity,111CT AG:   Cond Requested Cap,111CT AG:   Cond Running Cap,111CT AG:   Cond Ctrl Pressure,111CT AG:   Sc3 Датч нар воздуха,111CT AG:   Cond Reference
 10:46:00  21/03/2021,0,4.39,5.00,-9.72,11,-8.78,0.78,11,0.28,0,-14.39,-60.00,14,-0.78,5.28,11,8.00,-1.50,-4.11,11,-10.00,11,-3.50,-3.39,-9.11,11,0,-10.50,1.11,-7.89,3.39,0,-4.00,2.22,0,-0.78,6.22,0,11,-2.22,-11.89,11,-2.78,-8.72,-5.22,0.89,11,-6.61,11,1.00,2.22,0,-3.28,11,0.89,-0.72,7.28,8.50,14,7.39,14,8.61,7.72,10.00,14,2.50,1.78,11,9.89,6.89,11,11,18.22,17.61,1.89,-3.39,0,6.78,7.22,14,13.60,139,1.84,23.00,97,3,3,3,1.18,38,25,30,13.72,3.61,14.77
 10:48:00  21/03/2021,0,-10.78,4.50,-7.89,11,-8.78,2.22,11,-0.28,11,-9.11,-60.00,14,2.00,7.28,11,8.72,0.61,-0.28,11,-2.39,11,-0.11,-1.28,-4.28,11,11,-3.61,1.11,-6.00,3.39,0,0.28,3.89,0,2.50,6.50,0,11,-2.72,-13.50,11,-1.72,-6.50,-2.22,0.89,11,-2.50,11,2.39,2.22,0,0.00,11,2.11,1.50,7.28,8.50,4,7.39,4,8.61,7.72,10.00,4,2.78,2.11,0,10.28,8.22,11,11,18.22,17.61,1.89,-1.50,11,7.11,7.22,4,13.60,139,1.16,20.06,22,1,2,3,1.18,24,0,0,11.61,3.61,14.77
 10:50:00  21/03/2021,11,-14.78,4.89,2.72,11,-0.11,3.39,11,0.39,11,-0.22,-60.00,14,5.78,8.61,0,9.00,2.00,1.89,0,-6.89,0,-0.11,0.11,0.22,0,11,0.00,2.28,-0.78,3.39,0,5.00,5.22,0,6.50,7.00,0,11,-1.50,-6.39,11,0.00,-3.00,2.50,2.72,11,2.22,0,4.11,3.50,0,4.00,0,5.72,2.28,7.72,8.50,4,7.78,4,8.89,8.22,10.00,4,0.50,1.72,0,10.78,9.39,11,11,18.22,18.00,2.72,1.89,11,7.11,7.22,4,13.60,139,1.29,23.39,21,1,1,3,1.18,19,0,0,9.50,3.61,14.77
 10:52:00  21/03/2021,11,-1.61,5.61,4.78,14,1.50,3.78,0,1.28,11,1.61,-60.00,14,7.61,-3.89,11,6.22,0.39,-1.78,0,-10.00,0,-0.11,-1.11,-0.72,0,0,1.28,3.22,0.28,4.00,0,6.11,6.39,14,7.61,7.61,14,11,-0.50,-4.61,0,0.61,-2.39,3.61,3.61,11,3.61,0,5.22,5.61,0,3.72,0,7.61,1.11,7.00,8.78,0,6.89,0,8.89,3.39,10.39,0,-0.39,1.00,0,11.22,8.61,0,0,16.22,18.00,3.39,2.39,14,7.11,7.22,0,13.60,139,2.46,17.22,71,1,3,3,1.18,69,0,0,10.41,3.61,14.77
 10:54:00  21/03/2021,0,4.72,6.39,6.61,14,-10.72,1.00,11,1.89,0,1.00,-60.00,14,9.39,-2.78,11,6.22,-1.89,-7.61,11,-8.72,11,-3.11,-3.22,-8.50,11,0,-9.89,1.22,-10.11,2.28,0,7.00,7.39,14,8.50,8.28,14,0,0.22,-2.78,0,-1.50,-6.11,1.11,2.78,0,-8.78,11,2.00,3.22,0,-8.78,11,1.61,-8.61,-6.39,4.78,0,-6.78,0,6.50,-11.22,7.00,0,-3.89,0.22,0,10.50,-2.00,0,0,5.89,17.28,6.61,6.28,14,5.39,2.11,0,13.60,139,1.93,14.06,100,3,3,3,1.18,99,97,97,15.07,3.61,14.77
 10:56:00  21/03/2021,0,-5.61,7.11,7.11,14,-2.11,1.78,11,0.61,0,-3.72,-60.00,14,11.22,3.72,11,7.39,-0.11,-0.11,11,-2.50,11,-1.22,-1.61,-2.22,11,11,-6.78,0.22,-14.39,1.00,11,7.50,8.00,14,9.00,8.78,14,0,-0.39,-8.78,11,-2.28,-8.28,-3.22,1.39,11,-2.89,11,2.28,3.22,0,0.50,11,2.00,0.00,0.72,4.28,0,-15.89,0,3.89,0.61,6.39,0,-3.50,-0.72,11,9.61,-2.00,0,0,11.61,16.72,8.11,8.00,14,4.11,2.72,0,13.60,139,1.35,17.72,32,1,1,3,1.18,31,0,0,11.23,3.61,14.77
 10:58:00  21/03/2021,0,-16.11,7.72,7.72,14,-0.39,3.11,11,1.00,0,-0.50,-60.00,4,12.78,6.61,11,8.39,1.39,1.00,11,-7.78,0,0.22,0.00,0.00,11,11,-0.72,1.28,-3.28,1.61,11,7.78,8.61,14,9.00,9.22,14,0,0.00,-4.39,11,-0.50,-4.39,1.11,2.28,11,1.00,11,3.78,3.78,0,3.72,11,3.39,3.50,3.11,5.50,0,-13.11,0,3.50,4.50,7.61,0,-1.28,-0.72,11,9.22,-4.22,0,0,12.72,16.72,8.11,8.39,14,4.39,4.11,0,13.60,139,1.41,17.72,40,1,1,3,1.18,38,0,0,9.93,3.61,14.77
 11:00:00  21/03/2021,11,-2.78,8.22,8.72,14,1.28,4.11,0,1.39,0,0.28,-60.00,4,12.50,8.50,11,8.89,1.39,0.28,0,-11.89,0,-0.61,0.00,-0.61,0,11,0.00,2.50,-0.89,2.61,11,8.22,9.00,14,9.61,9.61,14,0,0.50,-2.39,0,0.28,-2.89,3.11,3.39,11,3.39,0,4.72,5.61,0,3.72,0,7.22,2.28,3.50,9.00,0,-1.00,0,3.78,-4.28,8.78,0,-0.28,-0.39,11,8.39,-3.28,11,0,3.50,16.11,8.11,8.39,14,4.00,3.50,11,13.60,139,1.82,12.22,69,3,1,3,1.18,67,0,0,10.80,3.61,14.77
 11:02:00  21/03/2021,11,3.39,8.61,9.39,14,-8.11,1.00,11,0.00,0,-13.11,-60.00,4,10.72,3.61,11,6.22,-2.11,-11.78,11,-8.61,11,-3.39,-3.22,-9.11,11,0,0.00,2.11,0.11,3.39,11,8.22,9.39,14,9.61,9.89,14,0,-0.11,-10.22,0,-0.61,-6.89,4.22,4.11,0,-11.00,11,1.22,3.11,0,-12.61,0,2.00,-10.61,-8.50,4.50,0,-10.72,0,2.72,-13.11,4.78,0,0.11,-0.39,11,8.39,2.78,11,11,10.11,15.50,8.11,8.39,14,3.61,3.50,11,13.60,139,1.36,20.94,94,3,3,3,1.18,93,25,0,15.54,3.61,14.77
 11:04:00  21/03/2021,0,1.39,9.00,9.89,14,-7.39,1.00,11,-0.78,11,-9.00,-60.00,0,7.22,-5.39,11,4.61,-0.39,-2.22,11,-3.39,11,-1.22,-2.28,-5.11,11,11,-14.11,0.22,2.89,4.11,0,8.61,9.72,14,9.89,9.89,14,11,-2.22,-18.39,11,-2.61,-8.61,0.39,3.11,0,-5.28,11,1.22,2.50,0,-0.22,11,1.39,-0.89,-0.61,3.22,0,-7.11,11,1.78,-19.61,3.00,0,0.50,0.00,11,8.78,5.39,11,11,15.72,15.78,8.11,8.39,14,4.50,4.50,11,13.60,139,0.92,26.17,10,1,2,3,1.18,19,0,0,11.23,3.61,14.77
 11:06:00  21/03/2021,0,-15.22,9.28,10.22,4,-0.78,2.39,11,0.00,11,-0.61,-60.00,0,2.78,1.11,11,6.11,1.00,0.39,11,-5.50,0,0.22,-0.50,-0.50,11,11,-2.28,0.89,-8.00,3.50,0,8.61,9.72,14,9.89,10.39,4,11,-1.61,-10.22,11,-0.61,-4.61,2.72,3.61,0,0.22,11,3.11,3.11,0,0.78,11,2.72,3.22,2.61,4.22,0,1.00,11,2.89,-6.39,2.61,0,0.50,0.00,11,9.28,6.89,11,11,16.78,16.22,8.11,8.72,14,5.11,5.39,11,13.60,139,1.16,24.00,13,1,1,3,1.18,19,0,0,9.24,3.89,14.77
 11:08:00  21/03/2021,11,-6.00,9.61,10.50,4,-0.11,3.61,11,0.78,11,0.72,-60.00,0,-0.78,4.89,11,7.50,2.22,1.78,0,-16.50,11,-2.28,-0.11,0.11,0,11,-0.39,2.22,-5.39,2.78,0,9.00,10.11,14,10.22,10.39,4,11,-0.61,-5.78,0,0.22,-3.22,4.22,4.39,0,2.72,0,4.50,3.89,0,3.28,0,6.28,0.78,3.00,7.22,0,3.50,0,4.11,0.89,3.50,0,1.11,0.39,11,9.72,8.39,11,11,17.61,16.72,8.39,8.72,14,5.50,5.72,11,13.60,139,1.54,21.17,34,1,1,3,1.18,34,0,0,8.94,3.89,14.77
 11:10:00  21/03/2021,11,1.50,9.61,10.50,0,1.11,3.61,0,1.72,11,2.61,-60.00,0,-3.50,7.22,11,8.39,0.50,1.28,0,-1.61,11,0.00,-1.50,-0.39,0,0,0.61,3.22,-1.22,3.39,0,9.00,10.39,14,10.22,10.72,0,0,0.28,-3.61,0,0.78,-2.50,5.22,5.11,0,3.39,0,5.50,5.78,0,1.89,0,5.28,1.78,3.50,10.22,0,-5.72,0,4.61,3.78,5.22,0,1.11,0.72,11,10.28,9.39,11,11,17.89,17.11,8.39,9.00,14,5.50,5.72,11,13.60,139,1.62,22.00,49,1,3,3,1.18,50,0,0,9.03,3.89,14.77
 11:12:00  21/03/2021,0,6.00,8.00,-1.78,0,-8.61,1.61,11,1.72,0,-4.39,-60.00,11,-6.00,8.78,11,9.00,-1.39,-8.11,11,-8.89,0,-0.72,-3.00,-7.61,11,0,-3.39,1.89,-6.78,2.28,0,9.39,10.39,14,1.61,9.61,0,0,0.61,-3.61,0,0.39,-3.61,-0.39,4.00,0,-6.50,0,5.50,5.28,0,-7.50,0,2.72,-7.39,-3.89,8.00,0,-6.72,0,4.00,-11.00,4.00,0,1.61,0.72,11,10.72,10.11,11,11,18.22,17.50,8.72,9.00,14,5.78,6.00,11,13.60,139,1.89,18.89,99,3,3,3,1.18,99,0,0,13.43,3.89,14.77
 11:14:00  21/03/2021,0,-10.78,4.89,-13.28,11,-5.22,1.11,11,-0.61,11,-19.00,-60.00,0,-3.61,-0.28,11,5.50,0.00,0.00,11,-11.61,11,-4.00,-1.78,-2.72,11,11,-16.50,-0.11,-14.61,1.00,11,9.39,10.72,14,-0.11,8.39,0,0,-1.28,-17.11,11,-2.78,-8.61,-7.61,0.50,11,-11.89,11,0.00,1.72,11,-10.61,11,1.11,-1.72,-11.61,2.39,0,-4.11,0,3.00,-11.89,1.11,11,1.89,1.22,11,11.11,10.11,0,11,18.22,17.50,8.72,9.28,14,5.78,6.00,11,13.60,139,1.38,19.44,30,2,1,3,1.18,28,6,0,13.03,3.89,14.77
 11:16:00  21/03/2021,11,-15.72,3.89,-9.39,11,-0.72,2.28,11,-0.61,11,-3.28,-60.00,11,-6.00,-4.72,11,4.72,1.72,1.39,11,-1.28,11,-0.22,0.00,-0.11,11,11,-3.78,0.39,-4.28,1.50,11,9.39,10.72,14,4.39,8.39,0,0,-1.28,-9.50,11,-0.61,-4.72,-0.78,1.22,11,-2.39,11,1.78,2.11,11,0.39,11,2.50,2.61,-0.28,2.39,11,0.61,0,3.61,-0.78,1.50,11,1.89,1.22,11,10.50,-1.11,0,11,18.22,17.89,9.00,9.28,14,5.78,6.28,11,13.60,139,0.87,30.67,8,1,1,3,1.18,19,0,0,9.72,3.22,14.77
 11:18:00  21/03/2021,11,-0.61,4.22,0.00,11,0.00,3.61,11,0.00,11,-0.28,-60.00,0,-5.72,1.89,11,6.50,1.39,1.11,0,-8.72,0,-0.22,-1.50,-2.00,0,11,-0.50,1.78,-1.00,2.39,11,9.78,10.72,14,7.28,8.39,0,0,-0.61,-5.22,0,0.22,-3.11,1.89,2.50,11,1.22,11,3.61,3.39,11,2.72,0,5.72,2.11,3.11,4.22,11,1.00,0,4.61,3.61,3.11,11,2.39,1.61,11,9.78,-5.72,0,0,18.22,17.89,9.00,9.61,14,4.78,4.39,0,13.60,139,1.10,26.50,46,3,1,3,1.18,38,0,0,10.41,3.22,14.77
 11:20:00  21/03/2021,0,5.28,5.00,4.22,11,0.50,3.89,0,1.22,11,1.72,-60.00,0,-3.89,5.28,11,7.78,0.22,-0.28,0,-10.11,0,-0.22,-2.22,-2.78,0,11,0.00,2.89,0.00,3.28,11,9.78,10.72,14,8.50,9.00,0,0,0.00,-3.72,0,0.22,-3.11,3.61,3.50,11,3.11,0,4.39,5.00,0,2.72,0,4.50,0.11,1.28,4.89,0,2.72,0,5.22,-6.00,4.39,0,2.39,1.61,11,9.78,-4.89,0,0,10.61,17.89,9.28,9.61,14,4.39,4.11,0,13.60,139,2.38,15.11,69,2,3,3,1.18,69,0,0,11.14,3.22,14.77
 11:22:00  21/03/2021,0,-8.89,5.72,6.22,11,-7.28,1.61,11,2.11,0,3.28,-60.00,11,-6.28,7.50,11,8.61,-1.50,-8.72,11,-7.39,11,-2.22,-2.89,-6.00,11,0,-2.78,2.00,2.89,4.00,11,10.11,11.11,4,-1.28,7.78,0,0,0.00,-7.89,0,-0.39,-5.22,1.28,3.78,0,-8.22,11,2.00,3.11,0,-8.61,11,1.28,-8.28,-7.00,2.39,0,-8.00,0,4.11,-9.11,2.39,0,2.72,2.00,11,9.22,-0.72,0,0,4.78,17.00,9.28,9.89,14,3.22,2.28,11,13.60,139,1.95,18.94,99,3,3,3,1.18,99,37,0,16.10,3.22,14.77
 11:24:00  21/03/2021,0,-16.28,6.39,6.89,11,-6.22,1.00,11,0.28,0,-10.72,-60.00,0,-4.61,8.78,11,8.89,-0.22,-0.22,11,-6.11,11,-2.61,-1.50,-1.39,11,11,-14.61,0.00,-7.78,3.28,0,10.11,11.11,4,2.61,7.50,0,11,-2.78,-20.00,11,-3.00,-9.00,-6.00,1.00,11,-8.22,11,0.78,1.50,11,-6.39,11,1.28,-0.89,-2.50,1.39,11,-11.22,0,3.61,-6.61,1.00,11,-1.50,2.00,0,8.61,-3.28,11,0,1.72,16.00,9.61,9.89,14,3.61,3.61,11,13.60,139,1.82,20.28,34,2,1,3,1.18,34,0,0,11.96,3.22,14.77
 11:26:00  21/03/2021,11,-1.28,7.11,7.50,11,-0.72,2.28,11,0.28,0,-0.89,-60.00,11,-5.39,0.89,11,6.78,1.28,1.28,11,-0.72,0,0.11,0.11,0.22,0,11,-2.50,0.72,-2.78,3.28,0,9.22,11.11,0,6.39,7.78,0,11,-2.39,-12.22,11,-0.89,-5.28,-0.22,1.78,11,-0.89,11,2.78,2.50,11,0.61,11,2.78,2.78,1.78,3.22,11,-0.89,0,4.11,-0.39,2.22,11,-0.39,1.28,0,8.61,2.89,11,11,12.72,16.00,9.61,10.22,14,4.00,4.28,11,13.60,139,1.66,26.89,38,3,1,3,1.18,50,0,0,10.41,3.22,14.77
 11:28:00  21/03/2021,11,4.50,7.72,7.78,11,-0.11,3.61,11,0.78,0,-0.50,-60.00,11,-6.22,-4.78,11,5.00,1.89,0.22,0,-15.11,0,-1.00,-1.39,-1.00,0,11,-0.39,2.11,-0.61,3.61,0,5.78,9.72,0,8.11,8.39,0,11,-1.22,-7.22,11,0.11,-3.39,2.22,3.00,11,1.78,0,4.11,3.61,11,3.50,0,6.39,2.78,0.22,5.22,0,0.50,0,4.72,3.72,3.78,11,0.72,1.28,0,8.61,5.39,11,11,16.61,16.00,9.61,10.22,14,4.50,4.72,11,13.60,139,1.93,18.33,81,3,3,3,1.18,69,0,0,11.39,3.22,14.77
 11:30:00  21/03/2021,0,-2.89,8.11,8.28,0,-2.78,3.11,0,-0.50,11,-12.89,-60.00,0,-3.89,2.11,11,6.61,-2.22,-11.78,11,-11.39,11,-3.28,-3.50,-8.28,11,11,0.11,3.00,-12.11,2.11,0,-7.61,5.72,0,-1.22,7.22,0,11,-0.28,-4.50,0,-1.39,-6.89,3.78,3.78,11,-8.22,11,0.72,3.61,0,-4.22,11,0.78,-10.78,-9.11,1.22,11,-10.22,0,2.89,-7.50,3.00,0,-4.11,0.61,0,9.28,7.22,11,11,17.61,16.61,9.89,10.50,14,4.50,5.00,11,13.60,139,1.51,25.28,96,3,3,3,1.18,96,37,0,16.01,3.22,14.77
 11:32:00  21/03/2021,0,-15.72,6.22,-7.61,0,-11.22,0.50,11,-0.50,11,-1.39,-60.00,11,-6.28,5.50,11,7.72,-0.50,-0.72,11,-1.28,11,-0.39,-1.89,-1.89,11,0,-7.89,1.61,-12.11,1.00,11,-1.28,4.61,0,3.22,7.22,0,0,0.22,-6.22,11,-2.11,-8.22,-4.22,2.28,0,-6.39,11,0.72,1.61,11,-5.00,11,0.39,-1.61,-0.39,1.61,11,-11.61,11,1.50,-6.50,1.00,11,-5.61,-0.39,11,9.72,8.50,11,11,18.11,17.00,9.89,10.50,4,4.89,5.00,11,13.60,139,1.41,25.61,32,1,2,3,1.18,32,0,0,11.18,3.22,14.77
 11:34:00  21/03/2021,11,-4.50,4.78,-7.11,11,-1.39,1.78,11,0.39,11,-0.11,-60.00,0,-5.78,7.61,11,8.39,1.00,0.72,11,-13.72,0,-0.72,-0.11,0.00,11,0,-0.89,2.11,-2.61,1.78,11,4.22,6.11,0,6.61,7.50,0,0,-1.11,-11.89,11,-0.39,-4.50,-4.61,0.28,11,-0.28,11,2.72,2.50,11,0.72,11,1.89,2.28,2.22,3.22,11,-0.11,11,2.39,-0.50,1.89,11,-2.11,-0.72,11,10.28,9.61,11,11,18.39,17.50,9.89,10.50,4,4.89,5.39,11,13.60,139,0.94,30.17,6,1,1,3,1.18,19,0,0,10.32,3.22,14.77
 11:36:00  21/03/2021,11,2.39,5.11,0.61,11,-0.39,3.22,11,1.39,11,2.00,-60.00,11,-4.39,8.89,11,8.89,2.28,2.11,0,-8.78,0,-1.50,0.61,0.00,0,0,-0.22,2.78,-0.89,2.72,11,6.78,7.28,0,8.11,8.00,0,0,-0.61,-6.11,0,0.22,-3.28,0.11,1.39,11,2.11,0,4.11,3.61,11,3.61,0,5.00,3.89,0.22,5.28,0,2.50,11,3.72,3.61,3.22,11,-0.89,-0.72,11,10.72,10.28,11,11,18.39,17.50,9.50,9.78,4,5.28,5.39,11,13.60,139,1.84,21.06,44,1,1,3,1.18,38,0,0,9.37,3.61,14.77
 11:38:00  21/03/2021,0,5.11,5.72,4.22,11,1.61,4.11,0,2.11,0,3.28,-60.00,11,-6.61,5.39,14,8.89,2.28,2.50,14,-2.22,14,0.11,0.61,0.72,14,0,-0.78,2.78,0.39,3.28,11,8.00,8.28,0,8.39,8.50,0,0,0.00,-3.50,0,0.50,-2.78,2.28,2.50,11,3.28,14,4.78,5.28,0,-1.22,0,7.11,-1.61,-2.72,4.61,0,-3.28,0,4.61,-8.39,4.00,0,-0.89,-0.39,14,11.28,10.78,0,11,18.39,18.00,8.89,9.28,0,5.28,5.72,11,13.60,139,2.59,17.78,73,1,3,3,1.18,86,0,0,10.54,3.61,14.77
 11:40:00  21/03/2021,0,-12.89,6.28,6.28,11,-11.22,1.22,11,0.72,0,-10.39,-60.00,0,-4.11,8.00,14,10.22,4.28,4.61,14,-0.61,14,1.28,1.78,2.50,14,11,-12.00,1.00,3.11,4.11,0,-5.39,4.39,0,-3.00,7.00,0,0,-1.28,-14.78,11,-2.78,-7.89,3.61,3.50,11,4.00,14,5.72,2.00,0,-11.78,11,0.89,-8.89,-9.50,0.89,11,-11.11,0,2.61,-12.00,1.28,11,-0.61,-0.39,14,10.72,0.00,0,0,9.89,18.00,6.72,2.50,0,5.61,5.72,11,13.60,139,1.61,17.78,99,3,3,3,1.18,100,54,54,14.85,3.61,14.77
 11:42:00  21/03/2021,11,-11.72,7.11,7.22,11,-5.78,0.89,11,-0.72,11,-13.11,-60.00,11,-5.78,9.72,14,11.11,5.78,6.61,14,-0.61,14,2.00,2.89,3.78,14,11,-8.22,0.00,-8.39,3.39,0,1.50,5.00,0,2.89,7.00,0,11,-3.78,-20.50,11,-2.22,-7.89,3.28,3.78,0,4.78,14,6.28,1.61,11,0.00,11,0.89,0.00,0.00,1.50,11,-8.22,11,2.00,-1.22,1.00,11,-0.28,0.00,14,9.72,-4.61,0,0,8.89,17.00,5.61,3.28,0,5.61,6.00,11,13.60,139,1.35,12.89,35,2,1,3,1.18,35,0,0,11.70,3.61,14.77
 11:44:00  21/03/2021,11,0.22,7.72,7.72,11,-0.61,2.28,11,-0.11,11,-1.00,-60.00,0,-5.78,10.61,14,11.78,7.00,8.00,14,-0.61,14,2.50,4.00,4.78,14,11,-1.00,1.00,-1.50,3.39,0,5.39,6.28,0,6.28,7.28,0,11,-2.89,-11.72,11,-0.72,-4.39,0.61,2.89,0,5.39,14,6.72,2.89,11,1.28,11,2.39,3.22,2.28,3.28,11,0.22,11,2.89,0.89,2.28,11,0.00,0.28,14,9.00,-5.39,11,0,13.11,17.00,5.61,5.28,0,5.61,6.00,11,13.60,139,1.30,15.11,35,1,1,3,1.18,35,0,0,9.72,3.61,14.77
 11:46:00  21/03/2021,0,5.50,8.11,8.39,0,0.00,3.61,11,0.72,11,0.00,-60.00,11,-5.00,10.89,14,12.28,8.00,9.11,14,-0.61,14,3.00,5.22,5.72,14,11,-0.28,2.28,-0.28,4.00,0,7.39,7.50,0,8.00,7.78,0,11,-1.78,-7.28,0,0.11,-3.22,2.78,3.61,0,6.00,14,7.00,4.11,0,4.00,0,6.28,2.61,0.39,5.39,0,3.00,0,4.11,3.61,4.11,0,0.28,0.72,14,8.39,-0.89,11,0,6.72,16.28,6.28,5.61,17,6.00,6.00,11,13.60,139,1.30,16.44,34,1,1,3,1.18,34,0,0,8.63,2.78,14.77
 11:48:00  21/03/2021,0,-12.11,7.50,4.78,0,1.89,3.61,0,1.61,11,2.11,-60.00,11,-6.89,11.22,14,12.28,8.78,10.11,14,-0.61,14,3.50,6.22,6.78,14,0,0.89,3.11,2.61,4.72,0,8.61,8.50,0,8.78,8.39,0,11,-0.61,-4.78,0,0.11,-3.61,4.11,4.28,0,6.39,14,7.39,6.11,0,0.89,0,7.89,0.72,-5.28,4.39,0,1.39,0,5.72,-14.28,3.61,0,0.72,1.00,14,8.39,3.89,11,0,12.61,16.28,8.61,7.78,17,6.00,6.28,0,13.60,139,1.66,13.83,53,3,1,3,1.18,52,0,0,8.29,2.78,14.77
 11:50:00  21/03/2021,11,-15.61,5.22,-8.39,11,-12.11,1.00,11,1.61,0,-1.50,-60.00,0,-3.72,11.61,14,12.89,9.50,10.78,14,1.72,14,4.00,7.00,7.78,14,0,-8.28,1.50,-6.61,3.28,0,-3.00,6.28,0,-1.22,7.72,0,0,0.11,-3.11,0,-0.72,-5.78,-4.61,2.11,0,6.72,14,7.39,3.50,0,-8.72,0,3.00,-9.00,-7.61,1.72,11,-6.00,0,4.89,-12.11,1.61,11,1.22,1.28,14,9.11,6.22,11,11,6.22,15.72,10.11,8.39,17,4.78,2.39,0,13.60,139,2.18,13.28,100,3,3,3,1.18,100,3,0,14.50,2.78,14.77
 11:52:00  21/03/2021,11,-0.72,4.72,-5.50,11,-2.78,1.39,11,-0.72,11,-20.22,-60.00,11,-6.78,11.61,14,12.89,10.11,11.28,14,3.50,14,4.50,7.89,8.28,14,11,-11.89,-0.22,-18.00,1.11,11,-4.00,3.39,0,1.00,7.00,0,0,-1.50,-22.61,11,-3.78,-10.11,-9.28,-1.28,11,6.72,14,7.78,0.89,11,-5.39,11,0.39,-3.61,-1.00,1.28,11,-15.72,0,2.11,-1.39,1.28,11,1.61,1.28,14,9.78,8.28,11,11,14.22,15.72,11.89,7.11,0,3.22,0.11,11,13.60,139,0.81,25.11,6,1,2,1,1.18,0,0,0,11.83,2.78,14.77
